title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
access to resources,resources greetings folks please resources confluence git colleagues previously requested separate instances aggregate thank respectfully,1,4,1,7,4,3,4
remote assistance required,remote assistance required hello please help based remotely remote assist means please pass queue right attempted asks has rights let seen issue other users kind regards senior engineer mob zone,1,4,15,87,32,3,4
re documents required create folder on and provide rights,re required thank much confirmation added help creating folder great treated priority since waiting while additional needed please let thank lead,1,4,2,7,38,3,4
new starter colombia bogota bogota,complete hi please help completed form joining thank lead,1,4,2,94,40,3,4
re de visitor card activation for space,re se va ca ne vin wednesday pm re va la la wednesday pm importance high va si visitor si la visitor visitor visitor va ca functional si va wednesday pm re fie inca wednesday re exact wednesday re se care care la ca ca visitor la wednesday re se existent wednesday si care tine care si joiners se officer,1,4,1,7,73,3,4
for forwarder,forwarder hi guys please investigate possible create forwarder user directly order calling even user redirected phones thank,1,4,2,88,87,3,4
please unblock port on secured network,please unblock port secured hi because run scripts remotely because port order command slave port opened per test running performance testing stress testing identify breaking environment best regards test consultant logo logo,1,6,22,21,95,3,4
new starter former intern,starter discipline dear please informed candidate accepted job offer become within discipline st february senior analyst cl please create his credentials per attached form thank best regards specialist,1,4,2,94,40,3,4
security,hi expecting attached nor usually receive please thank officer,1,4,2,7,89,3,4
access for enter to,enter dear granting enter program please assign colleague he has done job thank regards kind regards country,1,4,1,7,63,3,4
snow licence,snow licence dear license she joiner thank best regards engineer,1,4,2,7,56,3,4
report a account to be added,re updated report added hi please help codes well code thank kind regards programme portfolio officer,1,4,2,7,72,3,4
add address to filter,re suspicious thank vigilance has dangerous content guess waiting response valid complete databases delete please please best regards monitoring analyst wednesday suspicious hello received yesterday afternoon pm find suspicious followed required steps forward let help thank developer,1,4,3,7,89,3,4
time cards submission,re please action reports hi has absence registered please bellow order prevent submit her timecards added assist needed thank lead wednesday pm please action reports dear currently maternity leave receiving please advise complete her thank discipline lead ext date wednesday please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,1,4,2,105,67,3,4
migration to,migration hi please log migration git repository thank engineer wednesday re migration git success link browse link git git respect engineer tuesday pm re migration git re migration automation testing git care firma git si sub events git permissions fie internship investigation git initial pun ca out ca let wrote la care si automation testing git care firma git si events git permissions fie internship investigation git initial pun ca out ca let re migration automation testing git events git git si la december re migration done december re migration stage fie la stage care el wrote stage ca sub si care let pot december re migration pus care fie la si rest stage la la care scop owner automation testing git events git git wrote recent si ca ti write table feel free tot ca date va si va la si by default tot ca date care care started la care inca care pot fie si,1,4,3,86,19,3,4
need a wireless mouse,wireless mouse hi guys wireless mouse log assign please thank senior engineer,1,5,13,7,32,3,4
support team que,que hello everyone want let created please after tickets assign thank kind regards infrastructure ext,1,4,2,7,56,3,4
remove access,hi please please thank,1,4,1,87,38,3,4
for your collection,collection hi please best regards monitoring analyst tuesday pm collection software developer,1,4,3,7,89,3,4
nexus service,nexus hi please order apply nexus nexus same configuration please assign directly thank best regards engineer,1,6,22,21,45,3,4
re,re please thank wednesday re tine ca si date code ex ca se care care si date job specialist friday july pm re job specialist friday july pm re pus friday july re minute la concern thursday july pm re care zero pun wednesday july pm re pare ca ti la si please ca important wednesday july pm re tuesday re super pot tau tuesday re si se la el engineer wednesday pm care entity si engineer wednesday senior engineer tuesday pm re si si intra ca si labor contract fixed price contract provision sale goods purchased resale committed discounts offered si se tuesday pm re excel entity si senior engineer tuesday pm re ne si cum extras scrip si pot call merci tuesday pm re thursday senior engineer wednesday pm senior engineer wednesday re template care si care sheet client si si si care pot job specialist tuesday pm re ca la ace ca ne transmit machete la care senior engineer tuesday pm re prompt la care job specialist tuesday pm re la moment care cite senior engineer tuesday care ca ne cod client date la forecast date si date ca separate reports custom care si alt tool care ne job specialist,1,4,3,88,66,3,4
access management report,report dear please provide colleague months order analyze special cases quite urgent much appreciated thank technical leader,1,7,1,88,73,3,4
restart the done,restart done hi please assign she requested restart where application hosted thank engineer ext,1,4,15,60,95,3,4
integration,re dear looks problem related please allow requests port kind regards engineer friday pm re senior engineer friday pm re ne senior engineer friday pm re ne care merci engineer friday re pare ca unable connect remote result result stack trace location where thrown task task task task se la postman date care ne senior engineer thursday pm hi prepared allows null values primary key review accessing link credentials same other requests release deploy prod kind regards engineer,1,6,22,7,41,3,4
new starter,starter form dear please assist completion attached mobile hardware thank,1,4,1,7,10,3,4
successful upgrade message black duck users notification,re successful upgrade black duck users hi everyone upgrade application version went successfully users ad please image result black duck hub version upgrade dear colleagues upgrade hub application version has completed successfully important order continue scanning upgrade hub scanner client steps upgrade hub scanner user profile menu select tools based os download install hub scanner version user license agreement registration user license agreement appears hub must accept terms conditions hub fixed issue reported issue fixed release fixed issue whereby job runner container became disconnected running hub multi node docker swarm cluster please hesitate good how warm regards concerns please let best regards senior engineer,1,4,3,105,21,3,4
code required for,code required hello code mobile number details regards,1,5,13,88,58,3,4
cable needed,cable needed hi please help providing cable thanks floor blvd district,1,5,13,7,32,3,4
azure subscription,azure subscription hi please create allocate azure subscription testing purposes thank engineer,1,5,15,7,32,3,4
pas pipeline code creation,pipeline code creation hi please create code client level enter pipeline opportunity client vice president client transportation,1,4,2,7,70,3,4
change password change name,re update change change name hello reopen similar changing credentials mailbox ones were these please restore pass expires every thank communication specialist,1,4,2,21,36,3,4
access to oracle db servers,hello help client resources port port please feel free question thank engineer,1,4,2,7,65,3,4
new starter,starter form hi please help completion attached starter form join thank,1,4,2,94,40,3,4
change project manager for,please dear please except please code thank,1,4,2,21,66,3,4
access needed to report oracle,needed report dear colleagues kindly ask provide report within folder reports section currently please order perform job duties also copied knows about approves granted report kind regards job specialist,1,4,1,7,67,3,4
access,hello approve thanks find out more about experience specialist,1,4,1,7,10,3,4
wants to access goods or services reception oracle,wants goods view accept decline requests,1,4,1,7,46,3,4
domain to be blocked,hello please help out by treating attached blocking relevant thank best regards leader,1,4,2,7,89,3,4
access to entity needed,entity needed hi please provide entity thank,1,4,1,7,67,3,4
device recovery report reset tray,device recovery report tray printer details tray tray copier details tray tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,1,5,13,60,74,3,4
change bid manager and delivery,change bid hi please kind help switch bid opportunity locked stage opportunity id thank officer,1,4,3,21,10,3,4
new purchase po,purchase po dear purchased received items black updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
new pas rights,rights hi please provide rights regards,1,4,1,7,70,3,4
for dashboard,dashboard dear please dashboard too same profile thank,1,4,1,7,10,3,4
rights for tech radar repository,rights tech radar repository hello rights thank regards developer,1,4,1,7,19,3,4
mail merge communication regarding new joiner,merge communication regarding joiner hello please help out by out communication attached merge make more personal attached best communication second more suitable thank best regards leader,1,4,3,7,36,3,4
new starter denmark copenhagen,starter form hi please help completion attached stater form joining st march thank,1,4,2,94,40,3,4
from mailbox,mailbox hello please help mailbox part thanks officer ext,1,4,1,87,36,3,4
,dear please guide regarding thanks officer,1,4,3,105,67,3,4
maternity leave,maternity leave dear please note starting maternity leave unfortunately yet exact date since she provide certificate yet back form once confirmation thank lead,1,4,2,21,4,3,4
editing rights pas urgent,editing rights urgent hi please bellow best regards engineer editing rights urgent hello please editing rights he these accounts he needs update forecast apologies minute done possible much appreciated thank officer ext blvd,1,4,1,7,70,3,4
additional field for,additional dear please additional name pipeline tests type single choice initial values create cancel refund site adjustment lookup create plan plan delete plan thanks automation engineer,1,4,3,7,51,3,4
add somebody to,add somebody hi kindly ask add billing billing thanks best regards,1,4,1,7,4,3,4
access to,information user requested installation hello user asking she install her lap top installation available via please advise how proceed cases thank best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,4,1,7,38,3,4
approval,hi please issue assign thank best regards engineer tuesday pm hi please help went flow got stuck thank best regards compliance ext,1,4,3,7,66,3,4
unknown pipeline code for,unknown pipeline code hi add unknown pipeline please help code thanks lot kind regards programme portfolio officer,1,4,3,7,70,3,4
external needed for a few days,needed few days hi download files azure currently free hard drive appreciate provide hard drive couple days thank regards senior infrastructure engineer infrastructure upcoming holiday none id,1,5,13,7,32,3,4
end project setup form pas,setup form hello please two tickets thank kind regards setup form hi please help creating client code per attached form thanks best regards,1,4,3,7,70,3,4
space,re confluence tools dear please find attached setup form thanks help kind regards programme portfolio officer,1,4,2,7,19,3,4
notification for th of,dear please today hello everyone please advised saturday works scheduled during unavailable experience total downtime approximately question related mentioned please hesitate planned work affect mediation environment voice gateways devices available during change take client calls phones questions please thank kind regards infrastructure ext,1,4,3,60,87,3,4
access to floors,floors dear member starting today kindly ask him floors floor floor thank best regards self,1,7,1,7,73,3,4
re logged project equipment needed to be sent back to client,re logged equipment needed back client please material,1,5,13,21,32,3,4
end project setup form pas,setup form hello thank providing regarding codes future similar requests please instead fulfilled both please two tickets thank kind regards setup form hi please client code per attached form thanks best regards,1,4,3,7,70,3,4
reset password for our client,client dear please atom his updated credentials thank hi ask update please currently atom thanks,1,4,2,76,4,3,4
lost phone provide the user with a temporary device,lost phone stolen hello unfortunately find phone pretty stolen next thanks lot specialist blvd floor district find out more about experience,1,5,13,7,58,3,4
new starter germany frankfurt am main,starter form completed form tuesday re starter form hi please find attached form thanks starter form hi also join st february please assist fill attached form mobile hardware thank,1,4,2,94,40,3,4
remove from notification list,hello please proceed removing low satisfaction score she has left also her feedback owners assignment let require additional information approvals thank care,1,4,2,87,43,3,4
new purchase po,purchase po dear purchased led please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
new option,option hi please add option clients lead,1,4,3,7,51,3,4
sn access problem,tuesday pm sn problem hi sd getting attached error logging sn please unlock kind regards fin building floor street se please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,8,30,108,56,3,4
amp installation,amp installation hello please informed virus solution has changed amp client automatic installation available devices therefore please kind share availability install software testing machine possible please log effort assign queue thank understanding engineer ext,1,5,15,7,63,3,4
please add user permissions,please add user permissions hello user receive denied overall permission kind regards,1,4,1,7,4,3,4
new purchase po,purchase po dear purchased received items black phone number updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
confluence space,confluence hello guys confluence help kind information thank design lead,1,4,3,7,27,3,4
request for info on,help hi received suspicions which contains link protocol please out thanks tuesday re help si ne thanks lot again tuesday help la engine si training ca minute acquisition sport se va ext mob,1,4,2,88,36,3,4
make the following updates into the system,re please action dear has left therefore please make updates test automation public holiday thanks pm please action dear part established processes each required submit his weekly basis each friday past must submitted receiving because haven followed process please action possible breakdown please log accordingly training materials available id by each wednesday past period then also notified country date total days,1,4,3,7,67,3,4
new delivery,hello received today po mobil galaxy black po ex stand notebook please advise please log receiving goods thanks technician,1,5,13,7,32,3,4
access,dear browse thank,1,4,1,7,19,3,4
patch cord needed,patch cord hi provide patch cable please changed seat seat cable best regards,1,5,13,7,32,3,4
new delivery,hello received today po led tv please advise please log receiving goods thanks technician,1,5,13,7,32,3,4
non starter perform centre,re update dear update supposed yesterday his starting date needs changed he won available next due personal reasons he stay touch about starting date moment erased his labor contract per bulgarian procedure please suspend his moment kind regards tuesday december pm importance high dear forms attached best regards,1,4,2,94,40,3,4
visitor cards to be deactivated temporarily,visitor cards va la ca va va visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor,1,7,1,87,73,3,4
reactivate access card,va,1,7,1,7,73,3,4
certificate expired for mantis support com,re hi thanks did manage log regards pm re hi part by confirmed owner certificate renewed by relevant handling re certificate expired friday pm hi please identify owner let story required problem has form running regards,1,4,3,88,57,3,4
new interns hardware allocation school of java en,interns hardware allocation school hello please mote tickets assign queue individual allocations interns lost assets thank engineer ext,1,5,13,7,63,3,4
installation,installation hi think possible installed please creating process maps thank,1,5,15,7,32,3,4
issue on,issue hi please has running thanks analyst pl,1,4,3,88,43,3,4
db backups for staging environment,backups staging environment hello please log database backup core jobs databases wednesday please done rollback needed anyone by thanks best regards application engineer,1,4,3,60,99,3,4
weekend access and for the event,weekend event hello contacting regards event want host building ground floor february event organized by about event date february short description event called weekend event supports stage entrepreneurship estimated participants registering by bought event friday pm arrive pm setup saturday pm important mention entire event member present supervise activity requests entrance event done door communicates directly main street accordance schedule door event over close door by key secured contestants log during event please let requests possible offer event organizers final regarding requests additional information hesitate thank communication specialist,1,5,22,88,52,3,4
speed,re speed please log assign thank tuesday speed hello please physical negotiates sh status port name status duplex speed type connected trunk thank best regards engineer please consider environment print,1,5,22,7,32,3,4
add to,same hi regarding complain please pm same,1,4,3,7,89,3,4
please access to for,please hello please enable user thank best regards senior developer,1,4,1,7,19,3,4
new request,hello backpack old has zip broken appreciate resolution take call shifts thank,1,5,13,7,32,3,4
help on images,help images hi dear please log he kind enough quickly help regards pm re hi sorry missed initial size double file properties help how guide he needs usual help due please help thanks pm re importance high hi must distribute cob today assist advise thanks mobility officer hi shortly previously requested images word document pasting unable view size please advise kind regards dear colleague denmark best joined position consultant based has years change experience started his strategy where he worked clients transform businesses he then joined mind gym where lead responsible selling designing multi change programmes likes years has running his own helping large simplify by killing unnecessary complexity working spends his supporting spurs improving average golf swing running odd marathon deciding which next thing delighted part appreciate help making him feel touch has approximately years experience total years work experience has degree has working accountant entering industry working he enjoys golf scuba diving good music delighted part appreciate help making him feel touch kind regards mobility officer,1,5,3,105,63,3,4
printer th floor configuration,printer floor hello please configuration printer floor assign proper please note printer turned connected details sub mask proceed close let further assist kind regards engineer ext re printer floor hi please move storage pm printer floor hello please advise old printer floor taken floor replaced public area please advise done old printer floor thank engineer ext printer floor hello please has installed therefore please redistribute old printer floor floor thank,1,5,13,7,74,3,4
internal transfer,transfer form hello please fill transfer form thank,1,4,2,21,40,3,4
editing rights pas,editing rights needed codes,1,4,3,0,70,3,4
sr stack issues notification,sr stack issues hello please kind help out by by pm kindest regards leader tuesday re sr stack issues hi thanks how issues translate user impact thrown please ensure advise working rd party thank re sr stack issues hello issue experienced under reported users more less getting common did hear complaints lot users best regards engineer ext tuesday re sr stack issues hi guys issues meantime please again include thank sr stack issues yesterday senior engineer please consider environment print attach re sr stack issues hello kind reminder problem persist shall next logs stack link change switch stack stack port switch down stack link change switch stack stack port switch down redundancy standby lost standby processor fault peer present redundancy standby lost standby processor fault peer down redundancy standby lost standby processor fault peer redundancy change down session handle going down reason failure destroyed session destroyed neigh proc handle act dual neighbor down peer down notified chassis down event chassis gone down rf rf reload peer reload reason standby down redundancy peer lost active detected switch standby protocol interface port channel changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface port channel changed down link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down protocol interface changed down dual neighbor down expired channel channel event switch relay channel down destroyed session destroyed neigh proc handle act dual neighbor adjacency stack link change switch stack stack port switch stack link change switch stack stack port switch switch added switch stack switch has added stack switch added switch stack switch has added stack platform cable event switch stack cable removed channel channel event switch relay channel election elect active switch setting active switch relay elect switch port stack link change switch stack stack port switch down stack link change switch stack stack port switch down stack link change switch stack stack port switch stack link change switch stack stack port switch switch added switch stack switch has added stack switch added switch stack switch has added stack link interface changed link interface changed link interface changed link interface changed protocol interface changed link interface changed link interface changed protocol interface changed link interface changed protocol interface changed link interface changed protocol interface changed protocol interface changed protocol interface changed protocol interface changed platform pm inserted uplink module inserted switch slot protocol interface changed platform pm module inserted module inserted interface name platform pm module inserted module inserted interface name link interface changed link interface changed link interface changed link interface changed link interface changed link interface changed protocol interface changed protocol interface changed protocol interface changed protocol interface changed protocol interface changed link interface changed protocol interface changed link interface changed protocol interface changed link interface changed link interface changed link interface changed protocol interface changed link interface changed link interface changed link interface changed link interface changed protocol interface changed link interface changed protocol interface changed protocol interface changed protocol interface changed protocol interface changed protocol interface changed dual neighbor adjacency created session created neigh proc handle act protocol interface changed session handle going link interface port channel changed protocol interface changed protocol interface port channel changed dual neighbor down expired dual neighbor adjacency standby elected switch stack switch has elected standby redundancy peer active detected switch standby redundancy peer monitor event active detected standby insertion raw event peer found redundancy peer monitor event active detected standby insertion raw event peer redundancy change sync bulk succeed bulk sync succeeded rf rf terminal terminal reached senior engineer please consider environment print friday attach re sr stack issues hello changed cables issue resolved yet platform received chassis event become active channel channel event switch relay channel redundancy peer present redundancy peer down redundancy peer redundancy change platform became active ready switch primary after chassis confirmation election elect active switch setting active switch relay elect switch port platform received chassis event became active platform detail received chassis event became active switch primary count chassis down event chassis gone down logging host port started initiated logging host port started initiated console enable switch console type changed default link interface changed link interface changed protocol interface null changed link interface changed link interface changed down link interface changed down link interface changed down link interface changed down link interface changed down senior engineer please consider environment print tuesday attach sr stack issues hi doing well provide update anticipating valuable response note function program ensure timely response regards administrator work friday pm pm,1,4,3,105,36,3,4
holiday leave,normal va,1,4,2,7,67,3,4
re request configuration on side urgent,re has assigned hi please assign because add policy continue work kind regards senior infrastructure engineer infrastructure upcoming holiday none,1,6,22,21,26,3,4
support mailing,mailing hi guys please create mailing similar pm owners also added users add other guys available thank much,1,4,2,7,36,3,4
confluence user please,confluence user please dear please create confluence user then give him permissions pages spaces thanks head public holiday march,1,4,1,7,27,3,4
black duck users notification,black duck users hi going upgrade application users ad hub version upgrade dear colleagues planning upgrade hub application version wednesday mean application accessible version user license agreement registration user license agreement appears hub must accept terms conditions hub fixed issue reported issue fixed release fixed issue whereby job runner container became disconnected running hub multi node docker swarm cluster also find more detailed information about updates mentioned please hesitate note wish notified planned works please accept invitation attached good how warm regards concerns please let best regards senior engineer,1,4,3,60,21,3,4
oracle fusion services downtime notification,re downtime hello approved thank pm downtime hi publisher monitoring loading database solution suggested restart reserved window operation pm reports module unavailable during specified period please notify about event attached find form please approve thank engineer,1,4,3,60,66,3,4
machine should be accessed from port,machine accessed port hello machine needs accessed other port purposes thank,1,5,13,21,41,3,4
leaver,re leaver thank please update status devices assigned token kind regards administrator,1,4,2,87,48,3,4
database backup needed,database backup needed hello backup database kindly assign permissions user create database backup instance accessed path backups backups find recent backup old plan periodically create backups database easier give copy latest backup kind regards senior developer blvd floor district,1,4,1,7,53,3,4
question on share drive with team,question share drive hi guys share drive folder share pictures taken trip folder write thanks regards,1,5,15,88,32,3,4
license expiration request for info,re license expiration hello haven received past regarding replacement please issue best regards date friday license expiration hello everyone reported after receiving client installed locally machines license expired today currently deploying amp replacement meanwhile assets continue protected by difference download install updates device owner please follow instructions by past few days how install amp location require further information assistance please kind regards id image ext,1,5,3,88,63,3,4
new starter colombia bogota bogota,complete hi please help completed form joining march thank lead,1,4,2,94,40,3,4
watch codes into pas,watch codes greetings codes possible provide estimates please review let questions thanks watch virtual proof concept watch watch recognition phase products transportation id image,1,4,2,7,70,3,4
sent to com please add it to the blocked list,please add hi received please take appropriate steps senior engineer,1,4,2,87,89,3,4
pas access,good afternoon currently cannot codes forecast against currently view please enable questions please drop cheers change control presence mob,1,4,1,7,70,3,4
printer supplies,printer supplies hello make order printer supplies printer floor color laserjet pro unfortunately supplier procedure talked she told she never made order she more information please help,1,5,13,105,74,3,4
new purchase po hardware retrieval,re purchase po hi mistake please correction purchased please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,21,32,3,4
access to,joiner rights hi please help needed joiner per confluence spaces environments stag test test test test currently sitting infrastructure more secure due sensitive testers license taken care visual studio license studio taken care create user thank mobile,1,4,1,7,19,3,4
address reservation,fixed hello reserve machine fixed purposes months least thank,1,6,22,7,95,3,4
new purchase po,purchase po dear purchased monitor stands black please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
holiday query,holiday query myself colleague querying database has changed automatically days holidays entitled days less holidays which equal attached screen accrual plan balance displays periodic accrual also unsure balance calculation date shown tried changing defaults back filling weekly sheet holidays automatically entered please regards presence central quay glasgow,1,4,2,88,67,3,4
connection to oracle,dear colleague help connect please followed instructions introduced says incorrect best regards,1,4,1,105,67,3,4
defective display cable,defective display cable hi had defective display cable provided today best regards developer distr,1,5,13,7,32,3,4
snapshot,snapshot dear please snapshot best regards engineer,1,6,22,7,95,3,4
contract approve error,write change hello please log best regards senior engineer pm re write change hello please give exact name contract link investigate issue related given change best regards senior engineer pm re write change hi thanks experiencing problem because change approve contract referral called cannot approve he approves taking next step suggestions thanks,1,4,2,21,10,3,4
please modify sub tasks for projects,please modify sub tasks hello different sub tasks issue types remain sub tasks copy agile thank best regards senior developer,1,4,2,21,51,3,4
visual studio license key,how receive visual studio license key hello got visual studio gave requires license key how obtain software future,1,5,15,7,32,3,4
access usage,usage dear please approve usage kind specialist,1,4,1,7,36,3,4
transfer from to as of,transfer hi please fill transfer form thanks kind regards,1,4,2,21,4,3,4
direct reports missing time,re please action reports hi received has annual leave approved checked him status his leave has status complete please received action best regards wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,1,4,2,88,67,3,4
migration,migration dear please migration satisfaction application hi remember started migrating old stopped because were process how proceed migrate app completely kind regards engineer,1,4,2,21,49,3,4
filter request,filter hello please allocate change filter section locations recent shown thank,1,4,1,7,46,3,4
configuration,conversation hi dear please log assign queue thanks engineer pm conversation pm task care pm pm pm done pm super merci pm,1,4,2,21,51,3,4
mobile phone,mobile phone hello kindly provide mobile phone setting also perhaps thanks head contracts,1,5,13,105,58,3,4
space reservation rights for and,reservation rights hello please reserve rooms floor thank,1,4,2,21,36,3,4
second floor access approval,second floor dear please provide second floor kind regards specialist,1,7,1,7,73,3,4
access travel invoices po missing,po hello kindly asking write po please let additional information required side kind regards leader ext st emergency number,1,4,1,7,38,3,4
new purchase po,purchase po dear purchased basic series please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
new pas name change for ops,name change hi teams please name change regulatory change thank programme officer,1,4,2,21,70,3,4
license service now,license hi dear please provide two licenses questions please let thanks,1,4,2,7,56,3,4
new server,hi please allow subcontractors thanks hi created users port logo engineer nab kiev ukraine,1,6,22,7,95,3,4
access,hi kindly ask give accounts payable thank,1,4,1,7,51,3,4
new purchase po,purchase po dear purchased lite has updated device under user name please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased keyboard please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
laptop expiration date,expiration date hello question related expiration date name machine thanks,1,5,13,88,32,3,4
new purchase po,purchase po dear purchased please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
password reset,hi guys please users back passwords thanks senior engineer hi passwords due expire next few days please passwords thank kind regards fax unit industrial centre cambridge please consider environment communication print views expressed individual except where specifically stated view subsidiaries addressed customers opinions advice contained subject relevant terms reserves right monitor communications networks notice intended solely named recipient contain privileged confidential information intended please notify immediately destroy must copy distribute take action reliance upon whilst efforts made safeguard cannot attachments virus free compatible accept liability respect viruses computer problems experienced important card details by,1,4,2,76,4,3,4
denmark public holiday code oracle,denmark public holiday code dear please thread public holiday code timecards created part denmark assist thanks pm re denmark public holiday code hi possible has she knows otherwise regards denmark public holiday code hi completed training whilst running unable find public holiday code denmark usually location nothing comes denmark advised back him kind regards,1,4,3,7,66,3,4
mailbox access,mailbox hi please mailbox mailbox anymore thank,1,4,2,7,36,3,4
support com information,hi please identify owner let story required problem has form running regards,1,4,3,88,57,3,4
please update the testing,please update hello please make testing contains two thanks senior tester,1,4,1,7,4,3,4
export to excel for delivery forecast,export excel forecast hello please log best regards senior engineer pm care excel export pm pot pm share pm pm forecast dashboard view excel pm si view si ca pm copy paste ca lead skills status reason probability date duration si size search pm view si cod spate si pm si export si ca multi pm view va se view care va date pm pm update la etc view dashboard care ca ca pm inca date cod si la moment pot maine pm la face si date pm cat care cum excel export si pm la moment export demand pm,1,4,3,7,10,3,4
to,hi please include thank officer floor blvd district,1,4,1,7,36,3,4
cont,hello also please help thank,1,4,1,7,19,3,4
request access to,hello also please help regards,1,4,1,7,19,3,4
opportunity code pas for tools,opportunity code tools hi add known pipeline please help create opportunity code opportunity opportunity link also add unknown pipeline same client thanks kind regards programme portfolio officer,1,4,2,7,70,3,4
please provide access to tech radar,please provide tech radar dear please help radar colleagues thanks senior test lead,1,4,1,7,4,3,4
accounts,accounts good morning please note changes deactivate user accounts create accounts users tester,1,4,2,7,51,3,4
special invitation to join the amsterdam,special invitation join amsterdam dear keep getting please how got haven subscribed these updates anywhere thanks special invitation join amsterdam dear wondering had out event interested taking active role speaking chairing exhibiting etc more information please out event extended discount offer discount package come serve basis available upon please let which package interested discount code tailor package specifically requirements well forward hear regards friday pm special invitation join amsterdam dear events invite edition popular unleashing which take march rode hoed amsterdam goal two event bring together cross industry leaders share information latest trends strategies relating creating ecosystem within organization well key trends discuss success stories areas strategy product come practical ideas how excel engine within organization speaker include rebels lead director platform ventures senior director den vertical front vice president content information european commission adviser director strategy head front director product director venturing vice president excellence head commercial director chief officer save children head senior hague professor networks more information view event points discussion strategic disruptive how strategic partnerships building knowledgeable trustworthy personalized experience customers employees fostering communication incentives how more effectively better communication motivation innovative economies micro sharing economies booming providing openness flexibility humanized experience consumers ever evolving finding opportunities advancement augmented reality artificial autonomous vehicles challenges opportunities within organization corporate redefining values ethics characteristics goals competency models honored board available sponsorship packages vendor pass coffee breaks lunch networking drinks documentation package presentations which approved shared audience speaking package minute keynote presentation session attendee corporate logo event documentation social representatives speaker join event coffee breaks lunch networking drinks documentation package presentations which approved shared audience chairing package representative chair event days attendee corporate logo event documentation social representatives join event documentation package presentations which approved shared audience exhibition package dedicated exhibitor event attendee corporate logo event documentation social representatives join event coffee breaks lunch networking drinks documentation package presentations which approved shared audience face face meetings face face meetings pre selected key decision makers attendee corporate logo event documentation social representatives join event coffee breaks lunch networking drinks documentation package presentations which approved shared audience evening drinks sponsorship minute presentation drinks attendee corporate logo event documentation social representatives speaker join event coffee breaks lunch networking drinks documentation package presentations which approved shared audience dinner sponsorship minute presentation dinner pre selected key decision makers attendee corporate logo event documentation social representatives speaker join event sign enjoy discount valid until come serve basis available upon also suggestion introduced best combined packages discount which increase visibility speaking chairing price speaking exhibition price chairing exhibition price speaking face face price speaking face face exhibition price ensure slot please let package interested special discount code steps please let questions assistance forward hearing kind regards video description description description description description description description description description description description description description description description description description description description description description description description description description content uploads march sincere apologies found invitation disturbing thing want bother unduly valuable client therefore interested receiving more related unleashing please let by answering opt out,1,4,3,7,89,3,4
