source,english_sentence,hindi_sentence
indic2012,"30. The economy of the city was dependent on hand crafts, clothes, metal utensils and some other industries.",30. शहर की अर्थव्यस्था हथकरघा वस्त्रों और कुछ धातु आधारित उद्योगों को शामिल करते हुए कई उद्योगों पर निर्भर करती है।
ted,up to 80 percent.,८० प्रतिशत तक.
ted,is how you actually define poverty. What does it mean?,गरीबी की सही परिभाषा आखिर क्या है? गरीबी का अर्थ क्या है?
tides,There may be slight inconvenience in some women .,कई औरतों को चाहे थोडी सी तकलीफ हो
tides,He also knows that he works for a government that has brought the economic reform process to a grinding halt but he still talks of miracles and a 7 per cent growth .,वित्त मंत्री जानते हैं कि वे खुद उस सरकार में काम कर रहे हैं जिसने आर्थिक सुधारों की प्रक्रिया रोक दी है.फिर भी वे करिश्मे और 7 फीसदी विकास दर की बात करते हैं .
ted,and do something with it to change the world.,और इस दुनिया को बेहतर बनाने के लिये कुछ करेंगे ।
tides,"If the logic of the policy of fostering competition is to be pursued , it is inevitable and , in fact , desirable that large , efficient units should emerge and thrive .","यदि प्रतिस्पर्धा जमाने की नीति की तार्किकता का अनुसरण करना ही है , तो यह अनिवार्य और वास्तव में ठीक भी है कि बड़ी और कुशल इकाइयों को विकसित किया और बढ़ावा दिया जाना चाहिए ."
tides,Swimmer Nisha Millet stopped using the lift to her 10th floor apartment to put in some extra endurance work after mind-numbing laps in the pool .,तैराक निशा मिलेट ने स्पर्धा के लिए कुछ ज्यादा दमखम जुटाने की खातिर अपनी 10वीं मंजिल के लौट में फंचने के लिए लिट की सवारी छोड़े दी .
indic2012,"For oblation, hoarse was necessary which was stolen by jealous Indra.",यज्ञ के लिये घोड़ा आवश्यक था जो ईर्ष्यालु इंद्र ने चुरा लिया था।
tides,The place should be always kept properly drained .,"बकरी को जहां रखा जाये , उस स्थान से जल निकास की भी सदा ठीक व्यवस्था होनी चाहिए ."
tides,"In India , especially among Muslims , men and women lived in separate worlds .","भारत में , विशेषकर मुसलमानों में , पुरूषों और महिलाओं की दुनिया अलग- अलग थी ."
ted,"the lake people, in [unclear] operations.",ये समझा नहीं सके ।
indic2012,Due to the curse of Guru Parshuram finding himself unable to use divine weapons he gets down to extract the wheel of the chariot.,गुरु परशुराम के शाप के कारण वह अपने को दैवीय अस्त्रों के प्रयोग में भी असमर्थ पाकर रथ के पहिए को निकालने के लिए नीचे उतरता है।
ted,(Laughter),(हँसी)
ted,because otherwise it just looks wrong somehow.,क्युंकि अन्यथा यह किसी तरह से गलत लगता है |
tides,"The airlines fleet shrunk to just 23 , before two planes were inducted this year .",इस साल दो विमान शामिल करने के पहले इसके बेड़ै में बस 23 विमान बचे थे .
indic2012,This can be heard when one is deep in meditation.,ध्यान मे गहरे उतरने पर यह सुनाई देता है।
ted,But Rosey Grier also had,लेकिन रोजी ग्रीयर का
tides,It is not clear how many companies have violated their agreements .,"वैसे , यह स्पष्ट नहीं है कि कितनी कंपनियां अपने वादे से पीछे हटीं ."
tides,He knew that his end was near and he wanted it .,वह जानता था कि उसका अन्त समय आ गया है वह मरना चाहता भी था .
indic2012,Veda is the name of ancient holy books of Hindu religion.,वेद हिन्दू धर्म के प्राचीन पवित्र ग्रंथों का नाम है ।
tides,But it is the state 's responsibility to find her killers .,"हां , उनके हत्यारों का पता लगाना जरूर उसकी जिमेदारी है ."
tides,Another challenge is the political pressure being exerted for waiving the user charges .,एक और चुनौती राहदारी शुल्क कम करने के लिए राजनैतिक दबाव के रूप में है .
indic2012,Halahal (1946),हलाहल (1946)
tides,"There was a devotee called Mahadevi Shetty , a merchant , in Kalinga -LRB- modern Orissa -RRB- .",महादेवी शेटटी नामक कलिंग ( आधुनिक ओडिसा ) का व्यापारी भी एक भक़्त था .
indic2012,Barabanki District,बाराबांकी जिला
indic2012,"Thus, the real executive power cabinet them the Prime Minister as its head with the brain",इस प्रकार वास्तविक कार्यकारी शक्ति मंत्रिपरिषद् में निहित है जिसका प्रमुख प्रधानमंत्री है।
ted,and describe the world as it unfolds.,दुनिया का वर्णन कर रहे हैं.
ted,of all of the grid cells in a particular part of the brain,ग्रिड कोशिकाओं की कुल क्रिया मस्तिस्क के एक खास हिस्से पर
indic2012,Approval of the Consolidated Fund to withdraw money,6. संचित निधि मे धन निकालने की स्वीकृति लेना
indic2012,C1 Part 249- The Rajya Sabha (ruling party)can pass this rule (Emergency) and declare it to be of national benefit(two out of every three people should be in support of it)but this can be done only till a period of one year.,क1 अनु 249-राज्य सभा यह प्रस्ताव पारित कर दे कि राष्ट्र हित हेतु यह आवश्यक है [2\3 बहुमत से] किंतु यह बन्धन मात्र 1 वर्ष हेतु लागू होता है
tides,"When this has been done , the Bill is ready to be brought before the House .",इस समूची प्रक्रिया के पश्चात विधेयक सदन के समक्ष लाए जाने के लिए तैयार हो जात है .
ted,after only a year become measurably less clogged.,केवल एक साल के बाद ही कम अवरोधित हो जाती हैं ।
tides,The yava or barleyi shaped drums were also barrel drums and they may have been similar to the present day mridanga .,यव अथवा जौ के आकार के वाद्य भी ढोल होते थे और आज के मृदंग जैसे थे .
ted,"More abstract. These are your engineers,","अधिक अमूर्त. ये अपने इंजिनियर रहे हैं,"
ted,but they think that one is the input to the other.,पर वे समझते है कि सरकार का सीधा ताल्लुक राजनीति से है |
indic2012,Vallabhacharya propogated and spread Pushtimarg.,वल्लभाचार्य ने पुष्टिमार्ग का प्रचार-प्रसार किया।
indic2012,Devotee poet,भक्त कवि
tides,The entire evidence against him remained unquestioned and it was on the basis of the untested evidence that the Judge Advocate General secured the conviction .,"सारे सबूत उनके खिलाफ थे , जिन पर किसी ने कोई सवाल नहीं उठाया और इन अनजांचे सबूतों के आधार पर एडवोकेट जनरल ने अपनी राय बनायी ."
tides,"Gentlemen , come to your views .","महोदयगण , अपने विचार प्रकट कीजिए ."
indic2012,"Article 266 describes this as the accumulation of the proceeds of the taxes and levies of the Indian Government, and repaid debts. This is a fund under the custody of the legislature. Expenditure made from this fund is audited by the Controller and Auditor General. Article 266 also describes the global funds of the states also.",- अनु 266 इसका वर्णन भी करता है वह धन जिसे भारत सरकार कर एकत्रीकरण प्राप्त आय उगाहे गये ऋण के अलावा एकत्र करे भारत की लोकनिधि कहलाती है कर्मचारी भविष्य निधि को भारत की लोकनिधि मे जमा किया गया है यह कार्यपालिका के अधीन निधि है इससे व्यय धन महालेखानियंत्रक द्वारा जाँचा जाता है अनु 266 राज्यॉ की लोकनिधि का भी वर्णन करता है
tides,"The basic feature of the People 's Plan , which was essentially Roy 's plan , was its emphasis on agriculture and social services and its self-financing character .","जन-योजना , जो राय की ही योजना थी , मौलिक विशेषता थी , इसका खेती व समाज सेवाओं पर जोर तथा अर्थिक स्वालंबन ."
tides,Finding datable objects poses a challenge for NIOT .,अब तिथि दर्शाने वाली वस्तुएं खोज निकालना एनाऐओटी के लिए एक चुनौती है .
indic2012,Firozabad District,फिरोजाबाद जिला
tides,I got tired of it and went back to Baroda and studied for one year . I then returned to Bengal convinced that a purely political propaganda would not do for the country and that people must be trained spiritually to face dangers .,वहां एक साल तक पढ़ने के बाद मैं इस बात को स्वीकार करके वापिस बंगाल आया कि विशुद्ध राजनीतिक प्रचार देश के लिए अपर्याप्त है और खतरों का सामना करने के लिए लोगों को मानसिक रूप से तैयार करना जरूरी है .
tides,Does not parental care among them acquire an emotional tone at some level ?,क़्या उनमें पैतृक-रक्षण किसी स्तर पर संवेगात्मक रंग नहीं अपनाता ?
ted,we have an election.,हम चुनाव करते हैं।
indic2012,"Used the abstract type, specially pilers, minar, gates, mosque and some surface of mausoleum.",अमूर्त प्रारूप प्रयुक्त किए गए हैं खासकर आधार मीनारों द्वार मस्जिद जवाब में; और कुछ-कुछ मकबरे की सतह पर भी।
tides,"Badminton No . 1 Pullela Gopichand is 2001 ' s true sporting hero , the athlete whom no one knew and the badminton player everyone underestimated .","बैड़मिंटन चैंपियन पुलेल गोपीचंद 2001 के खेल जगत के सच्चे नायक हैं , जिन्हें पहले कोई नहीं जानता था और जिन्हें हर किसी ने कमतर आंका था ."
tides,"What is more , it is also found in the Siva cave-temple at Virasikhamani in the far southern Tirunelveli district and in the cave-temple at Kaviyur , near Quilon in Kerala .","यही नहीं , दूर दक्षिणी जिले तिरूनलवेली में वीर शिखामणि स्थित शिव गुफा मंदिर और केरल में क़्विलन के निकट कवियुर स्थित गुफा मंदिर में भी यह मूर्ति मिलती है ."
ted,One-sixth of the GDP in India is coming out of Mumbai.,भारत में सकल घरेलू उत्पाद का छठा भाग मुंबई से आ रहा है
indic2012,in six different classes there are task force terriorist in this class,छह श्रेणियों में इस टास्क फोर्स में वर्गीकृत आतंकवाद. है
ted,"Tipper was saying, “One more burger, with fries!”","टिप्पर कह रही थी, “ एक और बर्गर , फ्राइस के साथ !”"
ted,Urban retrofitting:,शहरी रेट्रो-फिट: यानि पुराने में नया फिट करना:
indic2012,Here one would be intrested in knowing that Wales was not Islam lover but anti Islamic and his books were published on anti islamic,यहाँ यह जानना रूचिकर होगा कि वेल्स इस्लाम प्रेमी नहीं ‎बल्कि इस्लाम विरोधी है और उसकी पुस्तकें इस्लाम विरोध में प्रकाशित हुई ‎हैं।
indic2012,"Highest runs in one-day international cricket matches (over 14,000 runs).",एकदिवसीय अंतरराष्ट्रीय मुक़ाबले में सबसे ज्यादा रन (१७००० से अधिक)
indic2012,Bhopal,भोपाल
indic2012,According to Soorsaravali his age was 67.,सूरदास की आयु सूरसारावली के अनुसार उस समय ६७ वर्ष थी।
ted,"it's got photons and it's got neutrinos,","उसमें फोटोन और न्युट्रिनो हैं,"
indic2012,Again they refined the illiterate people in the desert so that it may remain years to come.,केवल यही नहीं ‎उसने रेगिस्तान के अनपढ़ लोगों को ऐसा सभ्य बना दिया कि पूरे विश्व पर ‎इस सभ्यता की छाप से सैकड़ों वर्षों बाद भी इसके चिह्न मिलते हैं ।
ted,"they might look like black dots to us,","यह हमें काली बिंदी की तरह दिखती हैं,"
indic2012,"Then a large open space, where long north - south road crosses",इसके बाद एक बडा़ खुला स्थान है जहाँ यह लम्बी उत्तर-दक्षिण सड़क को काटती है।
tides,"He did whatever was possible under the circumstances to help these “ big , helpless children of Providence ” grow into self-reliant adults and thus initiated the first experiments in rural community development .",ऐसी स्थिति में जो भी संभव था उन्होंने ऋइन बडऋए और विधाता की अभागी संतानोंऋ के लिए किया ताकि वे आत्मनिर्भर व्यस्क बन सकें और इस तरह उन्होंने ग्रामीण सामुदायिक विकास कार्यऋमों के लिए आरंभिक प्रयोगों की शुऋआत की .
indic2012,When he started inviting people then some people of mecca think that this is a problem for there society and religion and they opposes him.,जब उन्होंने उपदेश देना आरंभ किया तब मक्का के समृद्ध लोगों ने इसे अपनी सामाजिक और धार्मिक व्यवस्था पर खतरा समझा और उनका विरोध किया।
ted,"As you may have noticed, our elections in Canada are a complete joke.","आपने ध्यान दिया होगा, कनाडा में चुनाव सिर्फ़ एक मज़ाक है।"
tides,Are you sending the Ombudsman all the papers ?,क्या ओम्बड़समैन को सभी पेपर भेज रहे हैं ?
ted,And one day - I don't know what happened -,और एक दिन - ना जाने क्या हुआ कि -
tides,Nature 's catalogue - how large is it ?,-ऊण्श्छ्ष्-रकृति की सूची - यह कितनी बङी है ?
indic2012,"It was on 3 June, 1973 that he got married to Jaya. In this year several films were released in which both of them were the main leads. In fact, “”Abhimaan“” was released just a month after their wedding.",१९७३ ही वह साल था जब इन्होंने ३ जून को जया से विवाह किया और इसी समय ये दोनों न केवल जंजीर में बल्कि एक साथ कई फिल्मों में दिखाई दिए जैसे अभिमान जो इनकी शादी के केवल एक मास बाद ही रिलीज हो गई थी।
ted,We certainly saw that in 2008.,बेशक हमनें 2008 में यही देखा.
tides,"Indian coal was the cheapest available but , considering its quality this constituted no great advantage .",भारतीय कोयला सबसे सस्ता था परंतु इसकी गुणवत्ता को देखते हुए यह अधिक लाभप्रद नहीं था .
tides,"Much of this kind of public activity was , of course , carried on through various institutions , like the Bombay Presidency Association and the Anjuman-i-Islam .",इस प्रकार के अधिकांश कार्यकलाप बम्बइ- प्रेसिडेंसी एसोसिएशन और अंजुमन ऋए- इसऋद्दलाम जैसी विभिनऋद्दन संसऋद्दथाओं के जरिये संपनऋद्दन होते थे .
tides,"While the very first mill was not a notable success , the second “ cleared its capital twice over ” within thirteen years , and the next two mills to follow “ simply coined money ” .","जबकि सबसे पहली मिल को कोई विशेष सफलता नहीं मिली , दूसरी मिल ने 13 वर्षों में ही अपनी पूंजी को दुगुनी कर लिया और बाद की दो मिलों ने केवल पैसा ही कमाया ."
indic2012,Therefore at the insistence of Brahmaji VedVyas approached Ganeshji.,इसलिए ब्रह्मा जी के कहने पर व्यास गणेश जी के पास पहुँचे।
tides,On account of India a large number of other countries have suffered and are suffering .,हिंदुस्तान की वजह से बहुत-से मुल्कों को तकलीफ उठानी पड़ी है और वे अब भी तकलीफ में है .
indic2012,"Black and Yellow, Meter-less taxi service are available in entire city.",काली व पीली मीटर-युक्त टैसी सेवा पूरे शहर में उपलब्ध है।
tides,"Towards the end of the year , he was removed to Calcutta and admitted to the Calcutta Medical College as a security prisoner .",साल के आखिर में उन्हें कलकत्ता लाकर पहरेबंद कैदी के रूप में मेडिकल कालेज में भर्ती करा दिया गया .
tides,Sakalesha Madarasa was a senior contemporary of Basava .,सकलेश मदरस बसव का ज़्येष्ठ समकालीन था .
tides,List I or the Union List contains 97 subjects over which the Parliament has exclusive power to make laws .,सूची 1 अथवा संघ सूची में 97 विषय हैं जिनके बारे में केवल संसद ही विधान बना सकता है .
tides,With young children it helps to :,छोटे बच्चों को मदद मिलती हैः
ted,and they're used in about 120-odd countries.,और हमारे लेंस एक सौ बीस से ज्यादा देशों में इस्तेमाल होते हैं ।
tides,"Tagore was shocked to see the Mahatma resort to such a characteristically priestly tactic of exploiting the conception of sin to din fear in the minds of the people and said in a public statement : ” It has caused me a painful surprise to find Mahatma Gandhi accusing those who blindly follow their own social custom of untouchability of having brought down God 's vengeance upon certain parts of Bihar , evidently specially selected for His desolating displeasure . .","ऋ महात्मा द्वारा पुरोहितों की तरह साधारण लोगों के मन में पाप भर डालने के इस प्रयत्न को देखकर रवीन्द्रनाथ चकित रह गए . उन्होंने एक जनसभा में कहा , ऋमुझे इस बात का बहुत दुख है कि महात्मा उन लोगों को दोषी ठहरा रहे हैं जो लोग अस्पृश्यता के सामाऋक विधानों का आंख मूंद कर पालन कर रहे हैं और उनके इस आचरण से कुपित होने के कारण ऋश्वर के दंडस्वरूप बिहार के कुछ हिस्सों में यह भूकंप आया है , विशेष रूप से ऋश्वर ने इसी जगह को चुना है ."
ted,Another that ended slavery. And that gave women the right to vote.,एक अन्य जिन्होंने दासता का अन्त किया। और जिन्होंने स्त्रियों को वोट करने का अधिकार दिया।
ted,is we need to face the truth,हमें सच का सामना करना होगा
tides,"In the metre of 5 padas , the fifth pada is placed between padas 3 and 4 .",पंच-पदीय छंद में पांचवां पद तीसरे और चौथे पाद के बीच में रखा जाता है .
ted,I think there are ways -,मेरे खयाल से धर्म से कुछ (अच्छा) चुराने के-
tides,Satellite TVs blasting scores of international channels and the Internet pushing the world towards one big clothes-knit village .,उपग्रह टीवी और इंटरनेट के विस्तार से दुनिया एक बड़ै गांव में तदील होती जा रही है .
indic2012,his father Govind Prasad Varma was a proffessor in the college of Bhagalpur,उनके पिता श्री गोविंद प्रसाद वर्मा भागलपुर के एक कॉलेज में प्राध्यापक थे।
tides,"His actions have evoked strong reactions , earning him either fulsome praise or bitter wrath .",उनके कार्यकलपों पर कड़ी प्रतिक्रिया होती है और उन्हें वाहवाही मिलती रही है या खासी निंदा .
ted,(Laughter),(हँसते हुए)
indic2012,Therefore by force Akbar put her sister and her daughter - in - Law in Harem.,तब अकबर ने उसकी बहन और पुत्रबधू को बलपूर्वक अपने हरम में डाल दिया।
ted,"So, notice that, as more people join in,","ग़ौर कीजिए, जैसे-जैसे और लोग जुड़ने लगते हैं,"
indic2012,Before Draupadi swayamvar except Vidur all other thought that pandavas died and due to this Dhrutrashtra made yuvraj to Duryodhan,द्रौपदी स्वयंवर से पूर्व विदुर को छोड़कर सभी पाण्डवों को मृत समझने लगे और इस कारण धृतराष्ट्र ने दुर्योधन को युवराज बना दिया।
tides,"On the other side of the fence stands most of the close-knit legal community , whose members , like Supreme Court lawyer Rani Jethmalani , feel the Delhi Government 's bravado is a “ knee-jerk reaction ” and “ the judiciary should continue to assert itself ” .","दूसरी तरफ , सुप्रीम कोर्ट की वकील रानी जे मलनी जैसे लगों का कहना है कि दिल्ली सरकार का मौजूदा रवैया ' स्वतःस्फूर्त और सोची-विचारी प्रतिक्रिया ' है और ' न्यायपालिका को अपने अधिकारों का एहसास कराते रहना चाहिए . '"
tides,"At the Shankaracharya 's camp , veteran leader N.D . Tewari spoke of Hindutva , and bhajans and kirtans were sung by monks during the wait for Sonia .",शंकराचार्य के शिविर में वरिउष् नेता नारायण दत्त तिवारी ने हिंदुत्व पर भाषण दिया और सोनिया के वहां फंचने का इंतजार करते हे साधुओं ने भजन और कीर्तन गाए .
ted,"so that a kid could go out and watch the physics course, learn from that.","ताकि कोई बच्चा जा सके और वह कोर्स देख सके, उससे सीख सके।"
tides,"During the interview , Bhagat Singh was heard telling his father again and again that the government was bent on sending him to the gallows and that the father should not be anxious about him .","उस मुलाकात में भगत सिंह बार-बार अपने पिता से यही कहते रहे कि सरकार उन्हें फांसी चढ़ाने पर तुली है , इसलिए उनके इतना चिंतित होने से कोई लाभ नहीं है ."
tides,"Among the anthologists the best known are Ghulam Ali Azad and Lachmi Narayan Shafiq and among lexicographers Tekchand , the compiler of Bahar-i-Ajam , Anand Ram Mukhlis of Mirat-ul-istilah and Sirajuddin Khan Arzu of Siraj-ul-Lughat .","संकलनकर्ताओं में सबसे अधिक विख़्यात थे गुलाम अली आजाद और लक्ष्मीनारायण शफीक तथा कोषकारों में टेकचंद , बहारे आजम के संकलकर्ता , मिरातुल इश्तिला के आनंद राम मुशलिस और सिराज-उल- लुघात के सिराजुद्दीन खान आरजु ."
tides,The Congress had been committed for many years to a policy of active opposition to British exploitation of India in imperialist wars anywhere .,"कांग्रेस कई वर्षों से साम्राज़्यवादी युद्धों में , कहीं भी , ब्रिटेन द्वारा भारत के शोषण का विरोध करती आ रही थी ."
indic2012,Birth and Family Life.,जन्म और कौटुंबिक जीवन
ted,called “Rosey Grier's Needlepoint for Men.”,“पुरुषों के लिए रोजी ग्रीयर की नीडलपॉइंट पुस्तक” (Rosey Grier's Needlepoint for Men).
tides,Sales and production figures are sluggish and agriculture production may actually be lower than the previous year .,बिक्री और उत्पादन के आंकड़ें की चाल सुस्त रही है और कृषि उत्पादन पिछले साल के मुकाबले कम होने की संभावना है .
tides,The Parliamentary System may be said to be laying greater stress on the concept of the responsibility of the executive while the Presidential system obviously promotes more the stability of the executive .,कहा जा सकता है कि संसदीय प्रणाली में कार्यपालिका के उत्तरदायित्व की संकल्पना पर अधिक बल दिया जाता है जबकि राष्ट्रपतीय प्रणाली में स्पष्टतया कार्यपालिका के स्थायित्व को अधिक महत्व दिया जाता है .
ted,so they don't get lost in a busy world.,इसलिये वो इस व्यस्त दुनिया मे खो नही जाते.
tides,A few people become overweight due to an endocrine or hormonal disorder .,कई अंत : स्रावी ग्रंथियों तथा हार्मोनों की गड़बड़ियों के कारण भी कुछ लोगों का वजन बढ़ जाता है .
tides,The latter restriction is desirable as otherwise big estates would grow up again .,"यह पाबंदी जरूरी है , नहीं तो जमींदारियां दुबारा बन जायेंगी ."
indic2012,love story of lord krishna.,11. श्रीकृष्ण-काव्य स्वतंत्र प्रेम-प्रधान काव्य है।
tides,"It is waiting for NGOs to solve the problem , ” says Menon .",वह समस्या के समाधान के लिए गैरसरकारी संग नों का इंतजार कर रही है . ' '
indic2012,"Nepal experiences five seasons: summer, monsoon, autumn, winter and spring.",नेपालमे पाँच ऋतुएं होती हैं: उष्म मनसून अटम शिषिर व बसन्त।
indic2012,Their demand was that they had been ruling for years.,उनकी मांग थी कि वे सालों से शासन चलाते आ रहे है।
indic2012,The city has got six Lok Sabha seats and 34 seats of Maharashtra Legislative Assembly.,शहर में लोक सभा की छः व महाराष्ट्र विधान सभा की चौंतीस सीटें हैं।
ted,"Last year we had about two million people,","पिछले साल यहाँ 20 लाख लोग आये,"
tides,"“ The new sari is like fusion music , ” says Kapur , who has been working to popularise traditional textiles for 13 years and won the national award for fashion design and textile preservation in 1998 .","कपूर , जो पिछले 13 साल से इस पारंपरिक वस्त्र को लकप्रिय बनाने में जुटी हैं और जिन्हें 1998 में फैशन ड़िजाइन तथा वस्त्र संरक्षण के लिए राष्ट्रीय पुरस्कार से समानित किया गया , कहती हैं , ' ' नई साड़ी मिश्रित संगीत की तरह है . ' '"
ted,in terms of gender equality.,औरत-मर्द की बराबरी के लिये।
tides,"The vadyam is very simple and is made of a bow , nearly two to three meters long .","वाद्यम् बहुत सादा है , और यह प्राय : दो से तीन मीटर लंबे धनुष से बना होता है ."
ted,and try to work their way around,और अपने तरीके उस में ढालते हैं
ted,is how to close this gap,ये है कि इस अंतर को कैसे कम करें
indic2012,There are many particles in air which can harm the health of plans and animals(including humans) or can damage their eyesight. These are produced due to natural process and human activities. The particles not found in the air naturally or or more frequently or different than generic particles are called as pollutants.,वायु में बहुत से तत्त्व होते हैं जो पौधों और पशुओं (मानव समेत) का स्वास्थ्य कर सकते हैं या नजर ख़राब कर सकते हैं यह प्राकृतिक प्रक्रियाओं तथा मानव गतिविधियों दोनों से उत्पन्न होते हैं. वायु में प्राकृतिक रूप से नहीं पाए जाने वाले तत्व या अधिक सांद्रता के साथ या सामान्य से अलग तत्वों को प्रदूषक कहा जाता है.
ted,"I published everywhere. I wrote down and measured everything,","मैं हर जगह प्रकाशित किया. मैंने लिखा और सब कुछ मापा,"
ted,"You see, the gods","देखिये, देवताओं को भी"
ted,"And so my blog was just one of those 50,000.","और मेरा ब्लॉग भी उन 50,000 में से एक था."
ted,So how might the airplane of the future look?,तो भविष्य का हवाई जहाज कैसा हो सकता है ?
ted,the burden it has to bear -,जिस बोझ को संभालना पड़ता है -
tides,A committee consisting of representatives of the people should be set up to work out the details for the election of this asssembly .,इस संविधान सभा के लिए चुनाव का ब्यौरा तैयार करने के लिए जनता के प्रतिनिधियों की एक कमेटी बनायी जानी चाहिए .
tides,The Congress has failed to take a concrete stand on any issue so far .,कांग्रेस अभी किसी मुद्दे पर ओस रवैया नहीं अपना पाई
tides,"In every country we find different types of ideas and beliefs , but the concrete aspect of the culture determined by the geographical and social conditions is the same .",प्रत्येक देश में हम विभिन्न विचारधाराएं तथा विश्वास पात हैं किंतु वहां की भौगोलिक और सामाजिक Zपरिस्थितियों Zके अनुसार निर्मित संस्कृति का वास्तविक तत्व वही रहता है .
indic2012,Gog Shiva Fifth form “”Agreshvar Mahadev NagNatheshawar“” establish in tajmahal(Vary Descriptive Article),ताजमहल में शिव का पाँचवा रूप अग्रेश्वर महादेव नागनाथेश्वर विराजित है (अति विस्तृत लेख)
tides,"The similar unfinished Aragandanallur cave-temple , with four pillars and two pilasters on the facade and in the hind row , would indicate five shrine-cells on the rear wall still uncut .","इसी के सदृश्य अपूर्ण ' अरगंडनल्लुर ' गुफा मंदिर में , जो मुखाग्र पर और पिछली पक्तिं में चार स्तंभों और दो भित्तिस्तभों से युक़्त है , पिछली दीवार पांच मंदिर कक्षों के चिन्ह हैं , जो काटे नहीं गए ."
ted,"70 years ago, it took one man",७० साल पहले एक इंसान ने
ted,that the best thing a child can do with a toy is to break it.,कि खिलौने के साथ बच्च सबसे अच्छा काम उसे तोड कर ही करता है।
tides,He flooded Gandhiji with questions which the latter answered with his usual patience .,उन्होंने सवालों की झड़ी लगा दी जिनका जवाब गांधी जी अपने स्वाभवगत धैर्य से देते रहे .
indic2012,Nationalist-Secessionist,राष्ट्रवादी-अलगाववादी
tides,"The roads leading from Pendra to Amarkantak have suddenly sprung barriers , with road transport authorities on both sides charging toll on the entry of goods .","पेंड़्रा से अमरकंटक को जाने वाली सड़ेक पर अचानक अवरोधक लगा दिए गए हैं , क्योंकि दोनों राज्यों के सड़ेक परिवहन विभागों ने माल के प्रवेश पर चुंगी वसूलना शुरू कर दिया है ."
ted,in recent metaphors about technology.,प्रौद्योगिकी के बारे में हाल ही में रूपकों में.
tides,"On the other hand , it has been observed that by castrating the bull calves at the proper age , the docility and activity of the bullocks are rather markedly improved .",इसके विपरीत देखा यह गया है कि उपयुक़्त आयु में बछड़ों को बधिया करवा देने से बैलों की सक्रियता उल्लेखनीय मात्रा में बढ़ जाती है और उनकी देखभाल में भी अधिक आसानी होती है .
ted,"Now we may find that there are places that are really, really dense","अब यह भी हो सकता है कि हमें ऐसे स्थान मिलें जो बहुत, बहुत सघन हैं"
ted,He has never told a lie.,उसने कभी झूठ नही बोला है.
ted,I can tell you it's a magnificent spread.,मैं आप को बता सकता हूँ कि वो बहुत ही भव्य है॰
ted,"And one of them came to me the next morning and he said,","और उनमें से एक मेरे पास अगली सुबह आया और बोला,"
indic2012,Ramanand Ji Ganghasnan stairs to the North were only his feet fell on the body of Kabir,रामानन्द जी गंगास्नान करने के लिये सीढ़ियाँ उतर रहे थे कि तभी उनका पैर कबीर के शरीर पर पड़ गया।
ted,(Laughter),(हंसी)
tides,Evidently these names indicate different plans and styles of construction .,स्पष्टतया ये नाम उन संरचनाओं की योजना तथा शैली की और इंगित करते
tides,Most of the Puranas are named after Vishnu and some after Brahma or Shiva .,अधिकांश पूराण विष्णु के नाम से हैं और कुछ ब्रह्मा या शिव के नाम से .
ted,lets him walk up to any surface,उसे किसी भी सतह तक जाकर
indic2012,Taj at the time of Twilight,गोधूलि के समय ताज
tides,"District Magistrates , who are subject to the control of the state government , define from time to time the local limits of the areas within which Executive Magistrates may exercise their powers .","जिला मजिस्ट्रेट , जो राज्य सरकार के नियंत्रण में होते हैं , समय समय पर उन स्थानीय सीमाओं को परिनिश्चित करते हैं जिनके भीतर कार्यपालक मजिस्ट्रेट अपनी शक्तियों का प्रयोग कर सकते हैं ."
ted,less than seven percent of the children,सात प्रतिशत से भी कम बच्चे
tides,Matured male can be allowed 160 coverings in a year but not more than two services a day .,बड़ी आयु के गधे को सालभर में 160 गधियों से मिलाया जा सकता है.एक दिन में दो से अधिक बार मेल नहीं Zकरवाया जाना चाहिए .
tides,"Still others mate among leaves , bushes , grass , etc , or even on the open ground .","कुछ कीट ऐसे भी हैं जो पत्तियों , झाडियों , घास आदि में और खुले मैदान में भी समागम करते हैं ."
